,fid,shapeGroup,shapeType,shapeName,bbox
0,1,AFG,ADM0,Afghanistan,"60.52109411719243,29.377206882628816,74.889862358485,38.49073626671432"
1,2,GBR,ADM0,United Kingdom,"-130.10789326116085,-59.48336138124833,72.49290269035481,60.79332796331974"
2,3,ALB,ADM0,Albania,"19.288739100300237,39.64448497284246,21.057267963602353,42.55578787408166"
3,4,DZA,ADM0,Algeria,"-8.667609560547758,18.96813736915937,11.998479281919229,37.08900974348252"
4,5,USA,ADM0,United States,"-179.14849409220383,-14.532649842800067,179.73912401509966,71.38758785081566"
5,6,ATA,ADM0,Antarctica,"-179.999999,-89.999999,179.99999900000012,-60.60364224662197"
6,7,ATG,ADM0,Antigua & Barbuda,"-62.353039114162925,16.9332777546219,-61.67427351396522,17.64583289828185"
7,8,ARG,ADM0,Argentina,"-73.54795726448091,-55.05455804176388,-53.79849130887369,-21.781046282524418"
8,9,AND,ADM0,Andorra,"1.413764276540124,42.42884546030001,1.549462054093508,42.6557693241694"
9,10,AGO,ADM0,Angola,"11.670472974724193,-18.039101339533072,24.058114034547653,-4.317859669021874"
10,11,ARM,ADM0,Armenia,"43.45901918200374,38.84468302769051,46.57944028465451,41.29709416285769"
11,12,NLD,ADM0,Netherlands,"-73.36577023639934,9.185621586609843,7.2104716191363964,53.54528111244596"
12,13,AUS,ADM0,Australia,"73.37495324445177,-54.76208685178778,167.98250731360196,-10.100000198184363"
13,14,AUT,ADM0,Austria,"9.561841744841077,46.37216648664415,17.160803360804746,49.02066738908053"
14,15,AZE,ADM0,Azerbaijan,"44.226685811390695,38.4410827166335,50.62181573737587,41.91235125613423"
15,16,BHS,ADM0,"Bahamas, The","-79.30583766082678,20.93166678600571,-72.72789371108819,27.238714135072666"
16,17,BRB,ADM0,Barbados,"-59.63080304855082,13.046663366470058,-59.4216572065791,13.155903576647885"
17,18,BLR,ADM0,Belarus,"23.17821717989708,51.26202160862914,32.769412757802854,56.17074383964484"
18,19,BEL,ADM0,Belgium,"2.599547448249981,49.496642664380346,6.40370733106823,51.48718270047067"
19,20,BLZ,ADM0,Belize,"-89.22258034864527,15.88569461456659,-87.76705668181857,18.487842061002507"
20,21,BTN,ADM0,Bhutan,"88.74557299857247,26.70206377757407,92.1025506111364,28.246746629488594"
21,22,BOL,ADM0,Bolivia,"-69.64495399253386,-22.87334224542752,-57.45378650502941,-9.685773599410057"
22,23,BIH,ADM0,Bosnia & Herzegovina,"15.728747246267803,42.55546711300613,19.622522724757427,45.276539601885645"
23,24,BWA,ADM0,Botswana,"19.999169981927057,-26.907532928419595,29.37530604438353,-17.790478000278345"
24,25,NOR,ADM0,Norway,"-9.086263527732227,-54.45002654730479,33.632427514718245,80.75302184046123"
25,26,COL,ADM0,Colombia,"-81.73186305688837,-4.227112151249142,-66.84631602576462,13.367907947718008"
26,27,COM,ADM0,Comoros,"43.23101668447097,-12.3894169902112,44.51572881611992,-11.365248442018997"
27,28,BRA,ADM0,Brazil,"-73.9828235483236,-33.74425803019879,-28.842988718971018,5.271694645913539"
28,29,FRA,ADM0,France,"-178.15667651012555,-49.72999340659626,172.05793439531158,51.089541055423354"
29,30,COD,ADM0,"Congo, Dem Rep of the","12.202344446085222,-13.444498118328722,31.31460365745829,5.391935560434274"
30,31,COG,ADM0,"Congo, Rep of the","11.152081910308228,-5.040718339323587,18.487167919227485,3.6533706132291397"
31,32,NZL,ADM0,New Zealand,"-178.92779161570778,-52.60542217290204,179.06953742295428,-8.543323530925308"
32,33,BRN,ADM0,Brunei,"114.07592942943938,4.009452562858786,115.32297703537137,5.047921909474266"
33,34,BGR,ADM0,Bulgaria,"22.357166347591434,41.338484063850046,28.57834976003951,44.20906941402296"
34,35,BFA,ADM0,Burkina Faso,"-5.462049402738896,9.411504683927548,2.404281081869525,15.084028586286605"
35,36,BDI,ADM0,Burundi,"29.05334576688148,-4.444429666177908,30.839564865211198,-2.3183051505918852"
36,37,CPV,ADM0,Cabo Verde,"-25.3446195824018,14.807027100160669,-22.683338453175853,17.083632760266664"
37,38,KHM,ADM0,Cambodia,"102.33355448677406,10.404541202219066,107.55656078961493,14.686113835713853"
38,39,CMR,ADM0,Cameroon,"8.501368136693715,1.655903627902549,16.191154554267367,13.083331990204753"
39,40,CAN,ADM0,Canada,"-141.00324183654334,41.676563876575386,-52.62197871602639,83.21067363616191"
40,41,CRI,ADM0,Costa Rica,"-87.09048156647239,5.501080459511942,-82.55300546000429,11.219684712346007"
41,42,CIV,ADM0,Cote d'Ivoire,"-8.602043727432855,4.3619821406576476,-2.493047754843249,10.727871316570399"
42,43,HRV,ADM0,Croatia,"13.490327912308887,42.39416105856853,19.44723264906636,46.555021049816816"
43,44,CUB,ADM0,Cuba,"-84.95206804217575,19.84202539503193,-74.1370664836021,23.208297273886725"
44,45,CAF,ADM0,Central African Rep,"14.415101742902865,2.2230444931507694,27.445906005843195,11.017959040142626"
45,46,TCD,ADM0,Chad,"13.471159758911911,7.527796563836136,23.99998257868486,23.452354302534015"
46,47,CHL,ADM0,Chile,"-109.44838587324844,-55.913772852587556,-66.42421358238488,-17.498354399152806"
47,48,CHN,ADM0,China,"73.49941188531673,18.16039053599447,134.77041221876078,53.55560946686276"
48,49,CYP,ADM0,Cyprus,"32.27623787647684,34.75289190660466,34.594149304547074,35.69709019139168"
49,50,CZE,ADM0,Czechia,"12.100368078597088,48.582781920692724,18.80971240699628,51.020072940860274"
50,51,DNK,ADM0,Denmark,"-7.662580283955205,54.557883917469326,15.148326395742457,62.36077988494631"
51,52,DJI,ADM0,Djibouti,"41.786911295953246,10.975257267073106,43.37070036308123,12.526916723773992"
52,53,DMA,ADM0,Dominica,"-61.48868079509354,15.205363922909116,-61.250379654380154,15.532492686841634"
53,54,DOM,ADM0,Dominican Republic,"-72.00751846952181,17.53875270453253,-68.32544360109648,19.899648660900734"
54,55,ECU,ADM0,Ecuador,"-91.66213093705707,-5.016163669808617,-75.18714987775857,1.4287274862827362"
55,56,EGY,ADM0,Egypt,"24.6967559117461,21.769430399194466,35.79354723941739,31.657313259015506"
56,57,SLV,ADM0,El Salvador,"-90.13463512418144,13.156302821048529,-87.69029449742038,14.420456642781401"
57,58,GNQ,ADM0,Equatorial Guinea,"5.617680685576661,-1.46417803365149,11.333281659476851,3.6373318705530377"
58,59,ERI,ADM0,Eritrea,"36.43335353714926,12.354713276093664,43.137054904501696,18.021204029117893"
59,60,EST,ADM0,Estonia,"21.836625583729077,57.517627807812346,28.064840304783043,59.676202225376215"
60,61,ETH,ADM0,Ethiopia,"33.004717276372304,3.404697618424339,48.00106339979541,14.894220246102618"
61,62,FJI,ADM0,Fiji,"-179.999999,-20.668362716313123,179.99999900000012,-12.503353649871672"
62,63,FIN,ADM0,Finland,"19.52910236964974,59.80791557196562,31.58707806228824,70.09185109923138"
63,64,GAB,ADM0,Gabon,"8.701514112233669,-3.961802547167264,14.526839328710023,2.293255440965067"
64,65,GMB,ADM0,"Gambia, The","-16.74712057358988,13.06372004792283,-13.792002401285488,13.825036941762148"
65,66,MAR,ADM0,Morocco,"-13.172304750458407,27.667268360045288,-1.1539641413627089,35.92232776655834"
66,67,MOZ,ADM0,Mozambique,"30.21655709440424,-26.85862221158997,40.73189950723213,-10.481379650580182"
67,68,NAM,ADM0,Namibia,"11.750728420722767,-28.963297529541077,25.261766582905633,-16.963489641457134"
68,69,GEO,ADM0,Georgia,"40.013006184035135,41.12302863204931,46.73609963181019,43.429924177704606"
69,70,DEU,ADM0,Germany,"5.945106782504982,47.270509870931534,15.04191627314614,55.05535604595414"
70,71,GHA,ADM0,Ghana,"-3.260801955040475,4.740233293398392,1.199374542167843,11.107736274688774"
71,72,GRC,ADM0,Greece,"19.38628171268019,34.80706611174284,28.228710102165163,41.74851276864251"
72,73,GRL,ADM0,Greenland,"-73.06163255014027,59.7991265396013,-12.14215286158617,83.63339133400004"
73,74,GRD,ADM0,Grenada,"-61.8058958196515,12.001190587293182,-61.43377588840032,12.476193579366422"
74,75,NRU,ADM0,Nauru,"166.9086448693198,-0.540411007722736,166.94702396151888,-0.51340038847876"
75,76,GTM,ADM0,Guatemala,"-92.23112950927347,13.740028640023754,-88.23300403682364,17.815704535108363"
76,77,NPL,ADM0,Nepal,"80.05845839408914,26.426003746899685,88.19614364839924,30.35929235212752"
77,78,GIN,ADM0,Guinea,"-15.069862365949062,7.1909084843127316,-7.638129452752511,12.674865435239836"
78,79,GNB,ADM0,Guinea-Bissau,"-16.71590514621209,10.921182373035082,-13.696385561326283,12.674865435239836"
79,80,GUY,ADM0,Guyana,"-61.41491923283928,1.164735754278001,-56.50026044433996,8.520955221002863"
80,81,HTI,ADM0,Haiti,"-74.4504279633186,18.020411540316605,-71.75846883157648,20.061749204139613"
81,82,JOR,ADM0,Jordan,"34.9593314980026,29.18503990381601,39.2009104327561,33.374724941886214"
82,83,HND,ADM0,Honduras,"-89.35595128513172,12.986108423146478,-83.1497261979981,17.41873323998716"
83,84,HUN,ADM0,Hungary,"16.11381215960245,45.73704717333527,22.881377514674707,48.58268060959256"
84,85,ISL,ADM0,Iceland,"-24.527599436558116,63.399625648187396,-13.490865337170336,66.48417676365861"
85,86,IDN,ADM0,Indonesia,"95.0454015824343,-10.90963194225233,141.01958850941708,5.902915998541073"
86,87,IRN,ADM0,Iran,"44.033839856887454,25.06040163635169,63.33334684712213,39.78220264099164"
87,88,IRQ,ADM0,Iraq,"38.79367874388055,29.061198961914403,48.611578042570244,37.38023954470661"
88,89,IRL,ADM0,Ireland,"-10.475865078202956,51.58083506792312,-5.994146801125626,55.23664845929926"
89,90,KAZ,ADM0,Kazakhstan,"46.49367823382457,40.57247272052808,87.31539387105113,55.4418500200083"
90,91,KEN,ADM0,Kenya,"33.9108603784309,-4.647570521558589,41.90693418171003,5.0334224888506585"
91,92,KIR,ADM0,Kiribati,"-172.18669243506918,-11.422524119037233,176.8453598478277,4.721660117668162"
92,93,PRK,ADM0,"Korea, North","124.20459665434782,37.677082423089814,130.67156237016655,43.00363128026066"
93,94,KOR,ADM0,"Korea, South","124.6137561156441,33.28832628474555,130.93001894318985,38.61827654709694"
94,95,XKX,ADM0,Kosovo,"20.014262663456922,41.87732126555218,21.78744920889289,43.20970181309613"
95,96,SRB,ADM0,Serbia,"18.838063568445538,42.23151430427876,23.006373580401256,46.1772664525769"
96,97,SYC,ADM0,Seychelles,"46.20848477393679,-10.152409631294672,56.293394658030195,-3.7979412319005124"
97,98,SLE,ADM0,Sierra Leone,"-13.300749292380202,6.928528557685626,-10.300711358727286,9.999970607935493"
98,99,SGP,ADM0,Singapore,"103.60635570065756,1.214614754334195,104.08569189179747,1.4319799248130332"
99,100,ITA,ADM0,Italy,"6.6270093610619965,36.64956012526716,18.51623364715888,47.09204582394102"
100,101,JAM,ADM0,Jamaica,"-78.3679417065288,17.7053967306038,-76.18626748087354,18.411248375002824"
101,102,JPN,ADM0,Japan,"122.93318378802343,24.25570861951677,153.98706820949917,45.49914543289802"
102,103,KGZ,ADM0,Kyrgyzstan,"69.26436961971265,39.180453857337085,80.17440580797881,43.265365684736736"
103,104,LAO,ADM0,Laos,"100.083983586937,13.90999958795044,107.62418675136598,22.47582825464438"
104,105,LVA,ADM0,Latvia,"20.969132286300354,55.67466206656226,28.151231351284846,58.085561161861875"
105,106,LBN,ADM0,Lebanon,"35.10367485874667,33.0940489450543,36.62265944464701,34.6347841807374"
106,107,LSO,ADM0,Lesotho,"27.01753560574483,-30.60523277628891,29.448440610965942,-28.570573783951783"
107,108,LBR,ADM0,Liberia,"-11.49930115630522,4.3619821406576476,-7.423517791354558,8.534089113999242"
108,109,LBY,ADM0,Libya,"9.39147806371466,19.49999796607516,25.03479414969095,33.166469564847205"
109,110,LIE,ADM0,Liechtenstein,"9.484407779365883,47.04966681194702,9.635466950879929,47.1813513307614"
110,111,LTU,ADM0,Lithuania,"20.95368132152942,53.89892994012163,26.835480933878667,56.450403897700085"
111,112,LUX,ADM0,Luxembourg,"5.81863279840903,49.45982307399541,6.530897881646294,50.17349546753218"
112,113,MCO,ADM0,Monaco,"7.4116944443995605,43.734289871925085,7.439638537202623,43.75176662555353"
113,114,MNG,ADM0,Mongolia,"87.73449769228694,41.58184591479622,119.90394177022375,52.14834634979695"
114,115,MNE,ADM0,Montenegro,"18.448117045951395,41.86875568316324,20.345583090631802,43.53099804989415"
115,116,MKD,ADM0,Macedonia,"20.452443067279464,40.853945206161285,23.03136383646554,42.37365131638515"
116,117,MDG,ADM0,Madagascar,"43.2279264915168,-25.601939550144277,50.4626036221276,-11.952698427250285"
117,118,MWI,ADM0,Malawi,"32.67285742433583,-17.127822684449637,35.91858809054909,-9.400576947520792"
118,119,MYS,ADM0,Malaysia,"99.72995495935959,0.853916838547024,119.27121356650292,7.291210695476022"
119,120,MDV,ADM0,Maldives,"72.70079854098279,-0.7021391343360049,73.74456519301549,7.108726548928954"
120,121,MLI,ADM0,Mali,"-12.240365255043114,10.150751685755937,4.266682154330707,25.000664009604446"
121,122,MLT,ADM0,Malta,"14.18580046862124,35.81991519451661,14.568265828458179,36.05875639040542"
122,123,MHL,ADM0,Marshall Is,"160.95370869038817,4.5720747730496525,171.92998249284625,14.616223648975078"
123,124,MRT,ADM0,Mauritania,"-17.0503625517463,14.721271965171072,-4.834115237367316,27.315878859898273"
124,125,MUS,ADM0,Mauritius,"56.5874576281343,-20.46730739403584,63.469404907916584,-10.336484755444319"
125,126,MEX,ADM0,Mexico,"-118.298743279442,14.5354608967686,-86.70967326662539,32.71872546976833"
126,127,FSM,ADM0,"Micronesia, Fed States of","138.06164885658927,5.264968318877581,163.00541567034708,9.54331334161712"
127,128,MDA,ADM0,Moldova,"26.71648811243995,45.467442364171404,30.16357396013174,48.40925860093526"
128,129,NIC,ADM0,Nicaragua,"-87.6796335709987,10.708060752088146,-82.74925510529766,14.994499629490859"
129,130,OMN,ADM0,Oman,"51.999999009537646,16.650092152510926,59.80788454044736,26.385855234659342"
130,131,PAK,ADM0,Pakistan,"60.87297304532342,23.694600903603362,77.01318320125176,36.95506389713948"
131,132,PLW,ADM0,Palau,"131.1196871339286,3.00755252887784,134.7212378439246,8.092005751629598"
132,133,PAN,ADM0,Panama,"-83.05213680021302,7.2045141050348915,-77.1584690555035,9.618044944488771"
133,134,PNG,ADM0,Papua New Guinea,"141.00190027438947,-11.622536674762825,159.48667117444228,-1.119620171640593"
134,135,PRY,ADM0,Paraguay,"-62.62927549302407,-27.444756324744116,-54.28409945673221,-19.287667318540546"
135,136,PER,ADM0,Peru,"-81.25588377113348,-18.35230372166792,-68.65233227316318,-0.038991263006497"
136,137,PHL,ADM0,Philippines,"116.92746095967084,4.646632581496024,126.60459973002713,21.121324159539437"
137,138,POL,ADM0,Poland,"14.12292175981432,49.00281821882646,24.14549035996239,54.836226103447416"
138,139,PRT,ADM0,Portugal,"-31.25781576374933,32.403067137904486,-6.188605030213668,42.15295722405091"
139,140,ROU,ADM0,Romania,"20.26147809979179,43.61916347906265,29.67039707880573,48.25430845690801"
140,141,RUS,ADM0,Russia,"-179.999999,41.19845541262211,179.99999900000012,81.86120957939019"
141,142,RWA,ADM0,Rwanda,"28.868337258276515,-2.744124320310062,30.826756239343123,-1.0528582845569219"
142,143,WSM,ADM0,Samoa,"-172.8346476765353,-14.050891695915835,-171.4521242200756,-13.51915723787525"
143,144,SMR,ADM0,San Marino,"12.408491665913006,43.89651455403916,12.515974638232533,43.98504839983329"
144,145,TON,ADM0,Tonga,"-175.67708776952472,-21.45547766841943,-173.90385643868362,-15.596670969932136"
145,146,TTO,ADM0,Trinidad & Tobago,"-61.931608451860185,10.046996413862034,-60.55616108941152,11.289103171359015"
